Product,Brand,Product Code,Product Specification,Price,Inward Date,Dispatch Date,Quantity Sold,Customer Name,Customer Location,Region,Core Specification,Processor Specification,RAM,ROM,SSD
Mobile Phone,Motorola,88EB4558,Site candidate activity company there bit inside soldier decide information.,78570,2023-08-02,2023-08-03,6,William Hess,South Kelsey,Central,N/A,Snapdragon 7 Gen,12GB,128GB,N/A
Laptop,Oppo,416DFEEB,Beat put care fight affect address his.,44613,2023-10-03,2023-10-06,1,Larry Smith,North Lisa,South,Ryzen 5,Ryzen 5,8GB,512GB,256GB
Mobile Phone,Samsung,9F975B08,Energy special low seven place audience.,159826,2025-03-19,2025-03-20,5,Leah Copeland,South Todd,Central,N/A,MediaTek Dimensity,8GB,256GB,N/A
Laptop,Sony,73D2A7CC,Friend record hard contain minute we role sea most.,20911,2024-02-06,2024-03-27,1,Dan Kirby,New Jordanmouth,South,i7,i7,12GB,64GB,2TB
Laptop,Microsoft,CCE0B80D,Program recently feeling save tree hotel people.,69832,2023-08-10,2023-09-10,4,Dean Martin,Keithton,East,i7,i7,8GB,128GB,2TB
Laptop,HP,10A5C53D,Recognize happen middle clear simple player positive improve team there crime.,190474,2025-03-19,2025-05-08,1,Monica Berry,West Heather,Central,i7,i7,16GB,64GB,256GB
Mobile Phone,Dell,14932CAE,Could before almost wind couple evening perform one take.,11670,2023-10-10,2023-10-16,6,Nicole Gonzalez,South Miguel,North,N/A,Apple A-Series,16GB,256GB,N/A
Laptop,Apple,D58FF785,Reality sea weight thing newspaper good next generation keep official foreign nearly concern.,15041,2023-10-29,2023-12-20,1,Danielle Smith,North Travis,South,i7,i7,12GB,128GB,256GB
Laptop,Apple,4FC302CF,Owner necessary total determine view stock church oil successful.,186647,2023-09-27,2023-10-11,3,Kyle Brown,West Dakota,East,i5,i5,16GB,64GB,1TB
Mobile Phone,Motorola,E3CF42BE,Responsibility form left final suffer party picture question environmental dog.,174698,2025-02-09,2025-03-20,10,Miranda Clayton,North Deanna,North,N/A,MediaTek Dimensity,6GB,64GB,N/A
Mobile Phone,Apple,F54013D6,To say system loss near him.,51251,2023-04-03,2023-04-19,9,Ms. Katie Anderson,Lake Laurenfort,North,N/A,Snapdragon 8 Gen,4GB,256GB,N/A
Mobile Phone,Toshiba,38604169,At American discussion travel building training tend total people year country ever.,179710,2024-04-11,2024-04-28,8,Jennifer Taylor,Allenside,East,N/A,Snapdragon 7s,6GB,512GB,N/A
Mobile Phone,Realme,E1DA13C1,Building eye media beat until together mother federal lot dream ready yet.,132370,2023-04-23,2023-05-18,6,Steven Foster,Victorberg,West,N/A,Snapdragon 7 Gen,16GB,512GB,N/A
Laptop,Nokia,2744030A,In all blue newspaper space doctor financial quite suddenly stay participant.,195641,2023-05-11,2023-07-08,10,Louis Young,New Kyletown,Central,Ryzen 3,Ryzen 3,12GB,256GB,256GB
Laptop,Lenovo,9F9A8BA9,Perform plan center address back design suddenly.,121462,2023-04-14,2023-05-16,1,Laura Martin,East Katherine,West,i3,i3,6GB,128GB,512GB
Mobile Phone,Samsung,00A8F8A0,Environment wish certain about should ever modern plant.,57148,2023-11-27,2023-12-08,7,Cristian Briggs,Port Nicole,East,N/A,MediaTek Helio,16GB,256GB,N/A
Mobile Phone,HP,CF70EFC5,Opportunity work half certain phone community recognize despite base arrive guess hope firm.,136094,2023-06-09,2023-07-17,9,Douglas Bass,North Glennmouth,North,N/A,Apple A-Series,12GB,128GB,N/A
Mobile Phone,Google,7FE9993A,Range strong full claim join quite hit never keep success travel treatment hear.,89801,2025-01-15,2025-01-31,9,Paul Stokes,Chapmanside,West,N/A,Snapdragon 8 Gen,4GB,1TB,N/A
Mobile Phone,Acer,E7692916,Eight sea financial station drug wear.,54134,2024-07-01,2024-08-13,4,Jonathan Morgan,Zacharyside,Central,N/A,MediaTek Helio,12GB,256GB,N/A
Laptop,Oppo,C215F637,Small push executive professional stand spring.,138695,2025-02-14,2025-03-02,8,Paula Sims,Lake Williamshire,West,i7,i7,16GB,512GB,1TB
